date,return,raw
2016-07-13,0.04503392967304133,3388.0
2016-07-14,-0.004722550177095631,3372.0
2016-07-15,0.012158956109134046,3413.0
2016-07-19,0.00937591561675945,3445.0
2016-07-20,-0.01683599419448476,3387.0
2016-07-21,0.007676409802184824,3413.0
2016-07-22,-0.026955757398183417,3321.0
2016-07-25,-0.010237880156579343,3287.0
2016-07-26,-0.0030422878004259203,3277.0
2016-07-27,0.01281660054928288,3319.0
2016-07-28,-0.04278397107562519,3177.0
2016-07-29,0.005980484734025811,3196.0
2016-08-01,-0.032227784730913644,3093.0
2016-08-02,-0.007436146136437116,3070.0
2016-08-03,-0.026710097719869708,2988.0
2016-08-04,0.0016733601070950468,2993.0
2016-08-05,-0.0011693952555963916,2989.5
2016-08-08,0.04967385850476668,3138.0
